index,signatures,pagenum,category,description,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,Board,,,,,,,,,,,,
3,,Board-back,,,,,,,,,,,,
4,1r,,Paratext,,,,,,,,,,,
5,1v,,Paratext,,,,,,,,,,,
6,2r,iii,Paratext,The preface is written â€œBy a FRIEND,â€ù the biblical scholar Dr. Benjamin Kennicott (iii). Kennicott was well-known for his printed sermons as well as his collations and printings of Hebrew manuscripts, including â€œVetus Testamentum Hebraicum cum variis lectionibusâ€ù (â€œThe Old Testament in Hebrew with various lessonsâ€ù) in 1776. According to the Oxford Dictionary of National Biography, the â€œscale of [his] textual criticism (he had consulted and collated 615 manuscript versions and 52 printed editions) gave Kennicott a European reputation that transcended national and denominational boundaries.â€ù It is very telling that Richardson asked a biblical scholar and sermon-giver to write the preface, framing his Collection as a virtuous and educational work. In the preface, Kennicott discusses the importance of secular morality in supplementing the Gospels and other religious works â€“ the importance of man developing a â€œmore perfect knowledge, not only of Religion, in matters relative to God, but of Virtue also, in matters relative to ourselves, and one anotherâ€ù (iv).
7,2v,iv,Paratext,,,,,,,,,,,
8,3r,v,Paratext,,,,,,,,,,,
9,3v,vi,Paratext,,,,,,,,,,,
10,4r,vii,Paratext,,,,,,,,,,,
11,4v,viii,Paratext,,,,,,,,,,,
12,5r,ix,Paratext,,,,,,,,,,,
13,5v,x,Paratext,,,,,,,,,,,
14,6r,1,Pamela,A: Address to the Rich,,,,,,,,,,
15,6v,2,Pamela ,"A: Advantages of Men over Women, owing to Women Themselves; Adversity",,,,,,,,,,
16,7r,3,Pamela ,A: Adversity; Advice to young married Women; Advice to Young Women,,,,,,,,,,
17,7v,4,Pamela ,A: Advice to Young Women,,,,,,,,,,
18,8r,5,Pamela ,A: Advice to Young Women,,,,,,,,,,
19,8v,6,Pamela ,"A/B: Advice to Young Women; Anger; B: Bashfulness, Sheepishness",,,,,,,,,,
20,9r,7,Pamela ,"B: Bashfulness, Sheepishness; <br><br>Beauty; <br><br>Beneficence",,,,,,,,,,
21,9v,8,Pamela ,"C: Calumny, Censure, Censoriousness; Cautions to young Female Servants",,,,,,,,,,
22,10r,9,Pamela ,"C: Cautions to young Female Servants; Charity, Alms-giving",,,,,,,,,,
23,10v,10,Pamela ,"C: Charity, Alms-giving; Chearfulness; Children in their early Infancy",,,,,,,,,,
24,11r,11,Pamela ,"C: Children in their early Infancy; Children how to be treated in their Infantile State, with a View to the Cultivation of their Minds",,,,,,,,,,
25,11v,12,Pamela ,"C: Children how to be treated in their Infantile State, with a View to the Cultivation of their Minds; Children and Servants",,,,,,,,,,
26,12r,13,Pamela ,C: Clergy,,,,,,,,,,
27,12v,14,Pamela ,C: Clergy,,,,,,,,,,
28,13r,15,Pamela,C: Clergy; Clergyman's Wife,,,,,,,,,,
29,13v,16,Pamela ,"C: Clergyman's Wife; Competency; Conscience, Consciousness ",,,,,,,,,,
30,,17,Pamela ,C: Conjugal Piety; Consolation; Consolation to the Poor,,,,,,,,,,
31,,18,Pamela ,C: Consolation to the Poor; Courtship,,,,,,,,,,
32,,19,Pamela ,C: Coursthip; Credulity; Custom,,,,,,,,,,
33,,20,Pamela ,C/D: Custom; Death; Double Entendre,,,,,,,,,,
34,,21,Pamela ,D/E: Dress; Duty to Superiors; Education,,,,,,,,,,
35,,22,Pamela ,E: Education,,,,,,,,,,
36,,23,Pamela ,E: Education,,,,,,,,,,
37,,24,Pamela ,E: Education,,,,,,,,,,
38,,25,Pamela ,E: Education,,,,,,,,,,
39,,26,Pamela ,E: Education,,,,,,,,,,
40,,27,Pamela ,E: Education,,,,,,,,,,
